username,repositorio,hash,linguagem_programacao
autor nulo,https://github.com/bminor/glibc,2864e767053317538feafa815046fff89e5a16be,Batchfile
autor nulo,https://github.com/KDE/kde1-kdebase,04906bd5de2f220bf100b605dad37b4a1d9a91a6,C++
tlyu,https://github.com/krb5/krb5,cf1a0c411b2668c57c41e9c4efd15ba17b6b322c,C
aegl,https://github.com/torvalds/linux,4dcc29e1574d88f4465ba865ed82800032f76418,Batchfile
antonblanchard,https://github.com/torvalds/linux,6c4841c2b6c32a134f9f36e5e08857138cc12b10,C
autor nulo,https://github.com/torvalds/linux,0b29669c065f60501e7289e1950fa2a618962358,C
pcmoore,https://github.com/torvalds/linux,2a2f11c227bdf292b3a2900ad04139d301b56ac4,C
Synchro,https://github.com/PHPMailer/PHPMailer,8beacc646acb67c995aea10ac5585970efc7355a,Markdown
autor nulo,https://github.com/Illydth/wowraidmanager,7dd6367ae85003dd5d715431b6ab695f2c2f200a,PHP
autor nulo,https://github.com/torvalds/linux,124d3b7041f9a0ca7c43a6293e1cae4576c32fd5,C
behdad,https://github.com/bratsche/pango,4de30e5500eaeb49f4bf0b7a07f718e149a2ed5e,C
macournoyer,https://github.com/macournoyer/thin,7bd027914c5ffd36bb408ef47dc749de3b6e063a,Markdown
gisle,https://github.com/gisle/html-parser,b9aae1e43eb2c8e989510187cff0ba3e996f9a4c,C
tseaver,https://github.com/zopefoundation/Zope,2abdf14620f146857dc8e3ffd2b6a754884c331d,Markdown
Dieterbe,https://github.com/Dieterbe/uzbl,1958b52d41cba96956dc1995660de49525ed1047,C
autor nulo,https://github.com/memcached/memcached,75cc83685e103bc8ba380a57468c8f04413033f9,C
kroki,https://github.com/memcached/memcached,d9cd01ede97f4145af9781d448c62a3318952719,C
autor nulo,https://github.com/ensc/irssi-proxy,85bbc05b21678e80423815d2ef1dfe26208491ab,C
acydburn,https://github.com/phpbb/phpbb3,4ea3402f9363c9259881bc8ea6ce7fc6cb212657,HTML
kr,https://github.com/kr/beanstalkd,2e8e8c6387ecdf5923dfc4d7718d18eba1b0873d,Batchfile
AndyA,https://github.com/AndyA/CGI--Simple,e4942b871a26c1317a175a91ebb7262eea59b380,Perl
pawelz,https://github.com/Dieterbe/uzbl,9cc39cb5c9396be013b5dc2ba7e4b3eaa647e975,Batchfile
ebruchez,https://github.com/orbeon/orbeon-forms,aba6681660f65af7f1676434da68c10298c30200,Java
